created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url,mention_username
Tue Feb 28 16:17:48 +0000 2023,1630603183491014656,"Hate when that happens. I was attacked and screamed at in 2018 by an insane woman named Marjorie Taylor Greene. She had no respect for the privacy of me as an 18 year old school shooting survivor or my staff. She was self righteous, insane, and completely out of control.",681,4156,22349,191519,en,1915033663,1630603183491014656,davidhogg111,https://twitter.com/davidhogg111/status/1630603183491014656,
Tue Feb 28 16:17:35 +0000 2023,1630603129682120707,"A rumour spread by a white woman, Fanny Taylor, sparked a massacre in the predominantly black town. Taylor claimed she was sexually assaulted in her house by a Black man. A group of white men believed her claims that she was raped by Jesse Hunter, a recently escaped convict.",2,5,148,759,en,808806102,1630603119389208579,AfricanArchives,https://twitter.com/AfricanArchives/status/1630603129682120707,
Tue Feb 28 16:16:18 +0000 2023,1630602804816666629,"@mtgreenee Man that sucks. I was attacked and screamed at in 2018 by an insane woman named Marjorie Taylor Greene. She had no respect for the privacy of me as an 18 year old school shooting survivor or my staff. She was self righteous, insane, and completely out of control.",642,3079,12508,132782,en,1915033663,1630409650360180742,davidhogg111,https://twitter.com/davidhogg111/status/1630602804816666629,mtgreenee
Tue Feb 28 16:15:16 +0000 2023,1630602543188574209,"Ariana Grande, Justin Bieber, Drake, Rihanna, Sza and Lady gaga has unfollowed Taylor swift on Instagram👀 https://t.co/qzws4zlGhz",57,142,234,2470,en,1551181956049604608,1630602543188574209,beyisover,https://twitter.com/beyisover/status/1630602543188574209,
Tue Feb 28 16:14:13 +0000 2023,1630602279295254528,"Marjorie Taylor Greene said the federal government  “is like an overgrown, terrifying monster in our house” which is “eating all the food out of our fridge” and “sleeping on our sofa.”  Greene then proposed defunding the FBI, CDC, and DHS. https://t.co/a05TVJwkSe",43,354,154,470,en,978265628426432512,1630602279295254528,patriottakes,https://twitter.com/patriottakes/status/1630602279295254528,
Tue Feb 28 16:09:17 +0000 2023,1630601039685595137,"Gutted Taylor-Serrano 2 is off. Was looking forward to it so very much and was super excited to finally go back to Dublin. Maybe this means Croker is salvageable? Either way, I’m gonna need a minute to process this. What a bummer.",5,23,14,552,en,17828988,1630601039685595137,arielhelwani,https://twitter.com/arielhelwani/status/1630601039685595137,
Tue Feb 28 16:07:01 +0000 2023,1630600469553741827,🧡 CALLING ALL DAISY JONES &amp  THE SIX STANS 🧡 baby we got merch!!! very lucky to get my hands on it early (perks of working on taylor’s books) but all these goodies will be coming to a waterstones near you sooner than you think . . .  and the tie-in edition is out now! https://t.co/GiNsbeYpHm,17,35,17,290,en,989915844217114625,1630600469553741827,lindazmoh,https://twitter.com/lindazmoh/status/1630600469553741827,
Tue Feb 28 16:03:48 +0000 2023,1630599660740964353,@bugaboosgf @ExquisiteWill Not you turning her into Anya Taylor Joy😭,0,2,2,826,en,1214256627722752000,1630249956605849601,CONNIEDEFENDER,https://twitter.com/CONNIEDEFENDER/status/1630599660740964353,"bugaboosgf, ExquisiteWill"
Tue Feb 28 16:01:54 +0000 2023,1630599181986574336,The backup QB Market is stacked for the #49ers:  - Marcus Mariota - Teddy Bridgewater  - Jacoby Brissett - Taylor Heinicke - Cooper Rush - Gardner Minshew - Case Keenum - Andy Dalton - Sam Darnold - Baker Mayfield - Carson Wentz  There’s no excuse for SF to not have a strong QB3,50,179,53,1314,en,2320045344,1630599181986574336,49ers_Access,https://twitter.com/49ers_Access/status/1630599181986574336,
Tue Feb 28 16:01:24 +0000 2023,1630599056224403457,"Marjorie Taylor Green thinks it's wrong to scream at someone, but apparently it's perfectly fine to scream at the State of the Union, harass Parkland Survivor David Hogg and, as seen in this video, apparently kick activists. https://t.co/zCDzczpNT8",242,873,2561,6500,en,132339474,1630599056224403457,EdKrassen,https://twitter.com/EdKrassen/status/1630599056224403457,
Tue Feb 28 15:54:20 +0000 2023,1630597277839421440,I stand with Marjorie Taylor Greene.,6,117,57,1017,en,832978972602429440,1630597277839421440,GrahamAllen_1,https://twitter.com/GrahamAllen_1/status/1630597277839421440,
Tue Feb 28 15:48:30 +0000 2023,1630595808125935616,"'Midnights' by Taylor Swift received 11,841,245 streams on Spotify yesterday (+7.62%).  'Glitch' was the greatest gainer (+12.4%). https://t.co/t5n8fyr1GX",4,19,50,854,en,1460491409018994691,1630595808125935616,SpotifySwiftie,https://twitter.com/SpotifySwiftie/status/1630595808125935616,
Tue Feb 28 15:47:25 +0000 2023,1630595534196187137,"If you despise Marjorie Taylor Greene with every fiber of your being, then we should probably be following each other.",41,561,346,4786,en,1323090408730062849,1630595534196187137,MayoIsSpicyy,https://twitter.com/MayoIsSpicyy/status/1630595534196187137,
Tue Feb 28 15:29:00 +0000 2023,1630590900622749696,14 million people trying to get tickets to her US tour leg and crashing ticketmaster should’ve put an end to that whole “Taylor Swift really isn’t that popular” bit y’all like to do but I digress,16,10,615,8302,en,1407130071689666561,1630590900622749696,dontblameklara,https://twitter.com/dontblameklara/status/1630590900622749696,
Tue Feb 28 15:26:57 +0000 2023,1630590386698854400,"Marjorie Taylor Greene is a bigoted hate machine, but she’s surprised that people despise her.",5,47,123,1043,en,1323090408730062849,1630590386698854400,MayoIsSpicyy,https://twitter.com/MayoIsSpicyy/status/1630590386698854400,
Tue Feb 28 15:16:10 +0000 2023,1630587672938057728,🥇 Taylor Swift returns to #1 on Billboard Artist 100 chart for a record-extending 64th week atop dethroning Rihanna. https://t.co/o61SANWIsk,3,6,196,1859,en,977144754407272448,1630587672938057728,TSwiftFTC,https://twitter.com/TSwiftFTC/status/1630587672938057728,
Tue Feb 28 15:10:00 +0000 2023,1630586119006953473,taylor swift / cruel summer https://t.co/vRdPUlms5c,193,16,5912,20158,en,1430835721556926464,1630586119006953473,thepopquote,https://twitter.com/thepopquote/status/1630586119006953473,
